formula,composition_str,gap pbe
Ba2Na(NiO2)3,O12 Na2 Ni6 Ba4,0.5345
Er3Ga,Er3 Ga1,0.0
Gd3Er,Gd3 Er1,0.0
RbFeBr4,Rb4 Fe4 Br16,0.9946999999999999
Li5SbS4,Li40 Sb8 S32,0.8237000000000001
Dy2Ge6Pd,Dy8 Ge24 Pd4,0.0
Li3Fe2P2(CO7)2,Li6 Fe4 P4 C4 O28,0.0
LiNbO3,Li8 Nb8 O24,3.0381
P4N3Cl11,N3 P4 Cl11,2.6338999999999997
LiMoP2O7,Li4 O28 P8 Mo4,4.3222000000000005
ThTeO,O2 Te2 Th2,0.24179999999999957
Li3Mn4(BO3)4,Li6 Mn8 B8 O24,0.0
Mg14NiSnO16,Mg14 Ni1 Sn1 O16,0.0
Te4Mo3W(SeS)2,Te4 Mo3 W1 Se2 S2,0.16000000000000014
Ce3Dy,Ce3 Dy1,0.0
YMg2,Y6 Mg12,0.0
Te2Pb3(BrO3)2,Te4 Pb6 Br4 O12,2.5072
SrMgP2O7,O28 Mg4 P8 Sr4,5.3660000000000005
UI4,U2 I8,0.26759999999999984
CuMoF6,Cu1 Mo1 F6,0.0
ScInPd2,Sc1 In1 Pd2,0.0
AgAuF4,F8 Ag2 Au2,1.0606
Cs2RbTmCl6,Cs2 Rb1 Tm1 Cl6,4.963
V4O5F7,V4 O5 F7,0.5948
Ba2PrBiO6,Ba2 Pr1 Bi1 O6,1.7508
Zr2Re,Zr20 Re10,0.0
Sm2Fe5Co12C,Sm2 Fe5 Co12 C1,0.0
Lu2FeS4,S8 Fe2 Lu4,0.0
InHO2,In2 O4 H2,1.7764000000000002
CaAgO2,Ca1 Ag1 O2,0.0
Hf9BW4,Hf18 B2 W8,0.0
Tl2SnHgSe4,Tl2 Sn1 Hg1 Se4,1.3954999999999997
CaYb2O4,O16 Ca4 Yb8,0.0
Lu2O3,Lu6 O9,4.2763
K10CoMo7O27,K20 Co2 Mo14 O54,2.2359999999999998
BaYF5,Ba4 Y4 F20,6.4503
Ba2NdInSe5,Ba4 Nd2 In2 Se10,1.0570000000000004
Bi2Te2W3O16,Bi4 Te4 W6 O32,3.0739
CuHClO,Cu4 H4 Cl4 O4,0.0
Ta2MnRe,Ta2 Mn1 Re1,0.0
MnSi2Ni,Mn2 Si4 Ni2,0.0
P(HO)3,P8 H24 O24,4.3717
LaTl(PSe3)2,La4 Tl4 P8 Se24,1.7674999999999996
LiMnF3,Li2 Mn2 F6,3.4463
Li5Fe8(BO3)8,Li5 Fe8 B8 O24,1.3468999999999998
La2Ti3O9,La4 Ti6 O18,2.5817
ZrCoGe,Zr4 Co4 Ge4,0.0
Dy2Ti2O7,Dy8 Ti8 O28,2.9696
CsVWO6,Cs2 V2 W2 O12,1.7903
VBO3,B2 O6 V2,1.8227000000000002
Cu9Se4(Cl3O7)2,Cu9 Se4 Cl6 O14,0.0
Cu2P3O10,O20 P6 Cu4,0.0
NaNd(SO4)2,O16 Na2 S4 Nd2,5.5386
U(HO2)2,U2 H4 O8,1.6722999999999995
Ga2PbSe4,Ga4 Pb2 Se8,1.7599
MnNb2ZnO8,Mn2 Nb4 Zn2 O16,1.1857
Li2V2OF5,Li2 V2 O1 F5,0.7305999999999999
Ag3AsO4,O8 As2 Ag6,0.0
SrCuO2,O4 Cu2 Sr2,0.0
NaRuO3,Na1 Ru1 O3,0.0
TiO2,Ti3 O6,3.4299
RbBe2F5,Rb1 Be2 F5,7.0859000000000005
Li3Tb(NO3)6,Li12 Tb4 N24 O72,3.089
Y2Mo2O7,O14 Y4 Mo4,0.0
Li20B54O,Li20 B54 O1,0.0
V2O5,V8 O20,2.5161000000000002
VCdClO3,V4 Cd4 Cl4 O12,2.7025
Ni3P3O11,Ni12 P12 O44,0.031400000000000095
Te2Mo2WSe4,Te2 Mo2 W1 Se4,0.01670000000000016
Ni5Se4(BrO6)2,Ni5 Se4 Br2 O12,3.1006
Rb2Cd(PSe3)2,Cd2 Rb4 Se12 P4,1.7961
Li5Mn2CoO8,Li5 Mn2 Co1 O8,0.5149999999999997
Te2Mo3WS6,Te2 Mo3 W1 S6,0.0
LaAlGe2O7,La4 Al4 Ge8 O28,3.2804
Ba2UZnO6,Ba2 U1 Zn1 O6,1.7578000000000005
Li2Cr5O12,Li8 Cr20 O48,0.5972000000000001
LiMoP2O7,Li2 O14 P4 Mo2,3.7065
BaYMn2O5,Ba2 Y2 Mn4 O10,0.0
LaSi2,La2 Si4,0.0
ThCd2,Cd2 Th1,0.0
Li2HClO,Li8 H4 Cl4 O4,4.956099999999999
Li6VCrP2(CO7)2,Li6 V1 Cr1 P2 C2 O14,1.9883000000000002
BaSrTi2O6,Ba1 Sr1 Ti2 O6,1.7176
Ti3O2,Ti6 O4,0.0
Mg14FeCuO16,Mg14 Fe1 Cu1 O16,0.0
CeCrSb3,Ce4 Cr4 Sb12,0.0
KZrCuS3,S6 K2 Cu2 Zr2,0.5924999999999998
VIn2O5,O20 V4 In8,0.5096999999999996
Li4MnCo2O7,Li8 Mn2 Co4 O14,0.5804999999999998
Na5H7(Se2O9)2,Na5 H7 Se4 O18,3.2662
LiMg17Al11,Li1 Mg17 Al11,0.0
Li7Fe3O8,Li14 Fe6 O16,1.8908
Zr4Pt2N,Zr16 Pt8 N4,0.0
NdTiFe11,Nd1 Ti1 Fe11,0.0
SmVO3,Sm4 V4 O12,1.4646
ZrTi(PbO3)2,Zr1 Ti1 Pb2 O6,2.6182
Mg14NbCd,Mg14 Nb1 Cd1,0.0
LiMg4Al(MoO4)6,Li1 Mg4 Al1 Mo6 O24,3.4577
Ba2CuF6,F12 Cu2 Ba4,0.8402000000000001
Ta2GaC,Ta4 Ga2 C2,0.0
Te2MoW3(Se2S)2,Te2 Mo1 W3 Se4 S2,0.0
YV(WO4)2,Y1 V1 W2 O8,1.2892000000000006
Mn2V3Sn(PO4)6,Mn2 V3 Sn1 P6 O24,0.07460000000000022
Cs2U(PtS2)3,Cs4 U2 Pt6 S12,0.0
Sr4Ta2O9,Sr8 Ta4 O18,4.1431000000000004
Ba2Nd2Fe4O11,Ba2 Nd2 Fe4 O11,0.8703999999999996
Li2TlHg,Li2 Tl1 Hg1,0.0
LaCo5H4,La1 Co5 H4,0.0
Tb10Ti6O27,Tb10 Ti6 O27,2.6132999999999997
Mg(NiS2)4,Mg1 Ni4 S8,0.0
Li4Ti2Fe3Sn3O16,Li4 Ti2 Fe3 Sn3 O16,1.3977
Li3MnPCO7,Li6 Mn2 P2 C2 O14,3.5753
Mg30MnCoO32,Mg30 Mn1 Co1 O32,1.5994000000000002
PrZnSn,Pr4 Zn4 Sn4,0.0
Si4Ag10O13,Si8 Ag20 O26,0.49729999999999963
Be3P2,Be48 P32,0.14510000000000023
TbTiO3,Tb4 Ti4 O12,0.0
Gd2Hf2O7,Gd4 Hf4 O14,2.8689000000000004
Li12Mn3FeP4(CO7)4,Li12 Mn3 Fe1 P4 C4 O28,3.6464
LiEr2Tl,Li1 Er2 Tl1,0.0
Nd2In8Pd,Nd2 In8 Pd1,0.0
Li4Fe(PO4)2,Li4 Fe1 P2 O8,4.2067000000000005
UGeSe,Ge2 Se2 U2,0.0
Na3YbSi2O7,Na54 Yb18 Si36 O126,0.0038999999999999035
Sc36In5Co13,Sc36 In5 Co13,0.0
Hg3(TeI)2,Te8 I8 Hg12,1.3859000000000001
TeMoWSe2S,Te2 Mo2 W2 Se4 S2,0.0
Li4Ti2Mn3O10,Li8 Ti4 Mn6 O20,0.8577999999999997
CrP(HO)5,Cr4 P4 O20 H20,2.8008
Ba2AlSn2F11,Ba6 Al3 Sn6 F33,4.128699999999999
SiO2,Si32 O64,5.610799999999999
PaAlV2,Pa1 Al1 V2,0.0
CsCaCO3F,Cs3 Ca3 C3 O9 F3,4.5158000000000005
SmPaO4,Sm2 Pa2 O8,2.7707999999999995
Si(PbS2)2,Si4 Pb8 S16,2.0436999999999994
Cr3B7O13F,Cr6 B14 O26 F2,3.0597999999999996
Li3Cr2(PO4)3,Li6 Cr4 P6 O24,2.8011
Dy5B2(O2F3)3,Dy10 B4 O12 F18,5.9579
Rb3NdCl6,Rb12 Nd4 Cl24,4.9117
Li2TiCo2O5,Li4 Ti2 Co4 O10,1.4176000000000002
Mn12O5F19,Mn12 O5 F19,0.0
Na3Sr14La3Ti20O60,Na3 Sr14 La3 Ti20 O60,1.7231999999999998
LiGdCl4,Li2 Cl8 Gd2,2.136
RbH3(CO2)2,H24 C16 O32 Rb8,4.8136
ErIn5Co,Co1 In5 Er1,0.0
Th(Al2Cu)4,Th1 Al8 Cu4,0.0
Rb4Sn21Hg2,Rb8 Sn42 Hg4,0.8069000000000006
Cs7NbIn3As5,Cs14 Nb2 In6 As10,1.1113
Mg2MnWO6,Mg4 Mn2 W2 O12,2.2515999999999994
BaYFeO4,Ba8 Y8 Fe8 O32,1.7645
Li4Mn3V3(CuO8)2,Li4 Mn3 V3 Cu2 O16,0.18409999999999993
PaAlCu2,Pa1 Al1 Cu2,0.0
Be(GaO2)2,Be2 Ga4 O8,2.6517
Na4Sc3In(SiO3)8,Na4 Sc3 In1 Si8 O24,4.5709
KNa2Li3Fe2(Si2O5)6,Li6 O60 Na4 Si24 K2 Fe4,3.3194
V(SO4)2,V8 S16 O64,1.3168
Mg2PdAu,Mg2 Pd1 Au1,0.0
Li6NbNi3(PO4)6,Li6 Nb1 Ni3 P6 O24,0.0
YB2Rh3,Y1 B2 Rh3,0.0
CaSnS3,Ca6 Sn6 S18,1.9074999999999998
Hf2N2O,Hf16 N16 O8,1.6197999999999997
Li6Mn3Sn(PO4)6,Li6 Mn3 Sn1 P6 O24,0.35250000000000004
Ta2OsRu,Ta2 Os1 Ru1,0.0
LiCdMoO5,Li4 Cd4 Mo4 O20,0.0
LiPm2Os,Pm2 Li1 Os1,0.0
Dy14(PbS8)3,Dy14 Pb3 S24,2.1885000000000003
KNa2(NiO2)2,K4 Na8 Ni8 O16,0.2730999999999999
Mg16Al12Se,Mg16 Al12 Se1,0.0
ZrNb2VC4,Zr1 Nb2 V1 C4,0.0
NiP2(H8O5)2,Ni2 P4 H32 O20,5.0309
Y3ReB7,B14 Y6 Re2,0.0
RbP(OF)2,Rb4 P4 O8 F8,5.1966
Li3Mn7O16,Li3 Mn7 O16,0.0
Li5Fe5O12,Li10 Fe10 O24,0.04699999999999993
MgB2H13N3,Mg4 B8 H52 N12,4.9702
Sc57Pt13,Sc114 Pt26,0.10280000000000022
LaPt,La2 Pt2,0.0
Li5Nb2Ni5O12,Li5 Nb2 Ni5 O12,0.016600000000000392
Sr5ZnCd4,Sr5 Zn1 Cd4,0.0
TlCr2FeO8,Tl4 Cr8 Fe4 O32,2.0114
KLi2MnPCO7,K2 Li4 Mn2 P2 C2 O14,3.0119
Ca2CdHg,Ca2 Cd1 Hg1,0.0
Nd2CoTe2(SO7)2,Nd2 Co1 Te2 S2 O14,2.9665000000000004
H3ClO5,H12 Cl4 O20,5.4045
Ba2Y2Co4O11,Ba2 Y2 Co4 O11,0.0
Mg14TiFeO16,Mg14 Ti1 Fe1 O16,0.0
KPrTe4,K2 Te8 Pr2,0.16909999999999936
PH9C(NO)4,P2 H18 C2 N8 O8,5.0103
PaCd,Pa1 Cd1,0.0
Ba2NaOsO6,O6 Na1 Ba2 Os1,0.0
TbTmIr2,Tb1 Tm1 Ir2,0.0
Sr36Al9Sn23,Sr36 Al9 Sn23,0.11069999999999958
Na3Ca18Fe(PO4)14,Na3 Ca18 Fe1 P14 O56,2.2236000000000002
LaGaS2O,O4 S8 Ga4 La4,1.9282000000000004
Mg2BBrN2,Mg4 B2 Br2 N4,3.3364000000000003
NaInH12(SeO7)2,Na2 In2 H24 Se4 O28,3.4392
K2S2O5,O10 S4 K4,3.1804
Sm2CuGe6,Sm2 Cu1 Ge6,0.0
CaC2(SN)2,C4 N4 S4 Ca2,3.3977
K2Na(H2N)3,K8 Na4 H24 N12,2.11
TiAlCu2,Ti1 Al1 Cu2,0.0
Ca2GaPt2,Ca4 Ga2 Pt4,0.0
LiMn2(BO3)2,Li2 Mn4 B4 O12,0.017800000000000038
Ti3VCr2(PO4)6,Ti3 V1 Cr2 P6 O24,0.01429999999999998
NbCrF6,Nb1 Cr1 F6,0.0
CsCuS4,S16 Cu4 Cs4,1.7616
Dy2Fe17C3,Dy2 Fe17 C3,0.0
Li3SbO3,Li12 Sb4 O12,2.8939999999999997
Ca(AlH4)2,Ca3 Al6 H24,2.9387999999999996
Li3SbS4,Li3 Sb1 S4,2.5601
SrCa3Mg4(SiO3)8,Sr1 Ca3 Mg4 Si8 O24,4.9213000000000005
Bi6B10O21,Bi6 B10 O21,1.1879999999999997
Ca2Al4Si4H10O21,Ca4 Al8 Si8 H20 O42,4.980300000000001
Ge3Os2,Os8 Ge12,0.8459000000000003
TbH9C5(NO4)2,Tb1 H9 C5 N2 O8,4.5335
TeOF2,Te4 O4 F8,4.189
CoO,Co2 O2,0.5880000000000001
LiCuPO4,Li4 Cu4 P4 O16,0.0
Ca2Ni3Ge2,Ca4 Ni6 Ge4,0.0
Mg14ZnMo,Mg14 Zn1 Mo1,0.0
K2NaDyCl6,K2 Na1 Dy1 Cl6,4.8121
Rb2TlIrF6,Rb2 Tl1 Ir1 F6,1.9765
Rb2NdH8N5O19,Rb4 Nd2 H16 N10 O38,3.4518
RbP(HO)2,H8 O8 P4 Rb4,5.1547
Ca3B6(H4O5)4,Ca6 B12 H32 O40,5.3889
La3Tm,La3 Tm1,0.0
Zr4CoNi,Zr4 Co1 Ni1,0.0
Ca2CuTe4(ClO5)2,Ca2 Cu1 Te4 Cl2 O10,0.7174999999999998
K2SbSO4F3,K8 Sb4 S4 O16 F12,4.578
TmGa2Ni3,Tm3 Ga6 Ni9,0.0
Li4MnV3(P2O7)4,Li4 Mn1 V3 P8 O28,0.4191999999999998
Na2ZnFe(PO4)2,Na4 Zn2 Fe2 P4 O16,3.3387000000000002
NaV3P2O13,Na4 V12 P8 O52,2.1006
LiAl(PO3)4,Li4 Al4 P16 O48,5.7440999999999995
Pr3Pt2,Pr9 Pt6,0.0
Ti(FeO2)3,Ti4 Fe12 O24,0.5579000000000001
KEr(PO3)4,Er4 P16 K4 O48,5.4862
RbSn3,Rb2 Sn6,0.0
MnV3(PO4)4,Mn1 V3 P4 O16,0.4761000000000002
ErCo3,Er3 Co9,0.0
Li3Fe8(BO3)8,Li3 Fe8 B8 O24,1.6402
K2H2IrCl5O,H8 O4 Cl20 K8 Ir4,1.8583000000000003
SmV2IO9,Sm4 V8 I4 O36,2.4763
LaSmB12,La1 Sm1 B12,0.0
Fe3(O2F)2,Fe6 O8 F4,0.0039000000000000146
TeO3,Te8 O24,0.8336999999999999
PmDy3,Pm1 Dy3,0.0
La5Cu6S7O4,La10 Cu12 S14 O8,0.0
GdPd,Pd2 Gd2,0.004499999999999282
Ta3CrSe6,Ta6 Cr2 Se12,0.0
La2ZnFeO6,La2 Zn1 Fe1 O6,0.0
Hf3B2Ir5,Hf6 B4 Ir10,0.0
RbCuO,O4 Cu4 Rb4,1.1566000000000003
Na9Sc(MoO4)6,Na18 Sc2 Mo12 O48,4.2158999999999995
K3YBr6,K3 Y1 Br6,3.801
Cs4Sn21Hg2,Cs8 Sn42 Hg4,0.7926000000000002
BaHgAs2O7,Ba2 Hg2 As4 O14,1.4969000000000001
Yb5Sn3,Yb10 Sn6,0.0
P2Pb3O8,Pb6 P4 O16,3.3803
Mo2CN,Mo2 C1 N1,0.0
Ca(NiO2)2,Ca2 Ni4 O8,0.5640999999999998
HoTlS2O9,Ho4 Tl4 S8 O36,1.6992
Cu4O3,Cu8 O6,0.0
Te6Mo3WS2,Te6 Mo3 W1 S2,0.03149999999999986
BaGdFe2O5,Ba2 Gd2 Fe4 O10,0.4413
LiV2P4(HO8)2,Li2 V4 P8 H4 O32,0.9866999999999999
RbYb(WO4)2,Rb1 Yb1 W2 O8,0.0
Pr6O11,O44 Pr24,0.0
Ge22Rh17,Ge44 Rh34,0.0
Li3Ni2SnO6,Li3 Ni2 Sn1 O6,0.0
Lu(Co2Ge)2,Lu2 Co8 Ge4,0.0
SrCd2H16(Br3O4)2,Sr2 Cd4 H32 Br12 O16,2.8586
Te3W2S,Te6 W4 S2,0.0
K(WO3)9,K4 W36 O108,0.0
Eu(AsPd)2,Eu1 As2 Pd2,0.0
LiMnVP2(HO5)2,Li2 Mn2 V2 P4 H4 O20,0.8496999999999999
LiMnPO4,Li6 Mn6 O24 P6,3.3678999999999997
CuReO4,Cu2 Re2 O8,0.43679999999999986
ZnFe4(CuO4)3,Zn1 Fe4 Cu3 O12,0.0
KCu2SbS3,K4 Cu8 Sb4 S12,0.9596
YAgPb,Y3 Ag3 Pb3,0.0
Nb12Br17F13,Nb12 Br17 F13,0.11929999999999996
Ce4(FeB2)3,Ce4 Fe3 B6,0.0
AgSbSe2,Ag2 Sb2 Se4,0.0
KLiSi2O5,K2 Li2 Si4 O10,4.7068
Ba3Be2B5HO13,Ba3 Be2 B5 H1 O13,3.3868
RbMg30BO31,Rb1 Mg30 B1 O31,1.743199999999999
Li4MnF6,Li12 Mn3 F18,4.9148
P2Pb3O8,P6 Pb9 O24,3.2500999999999998
Ce3Co11B4,B4 Co11 Ce3,0.0
Te(HO2)2,Te2 H4 O8,1.7198000000000002
Li4NCl,Li4 N1 Cl1,1.7617
CaTe,Ca1 Te1,1.5535
Ho(WO3)2,Ho2 W4 O12,1.6766999999999999
Er5Sn3,Sn6 Er10,0.0
La2Rh2I,La4 Rh4 I2,0.0
LiFeF4,Li2 Fe2 F8,3.3661000000000003
Ho48In7Co17,Ho48 In7 Co17,0.0
K4MoWO8,K4 Mo1 W1 O8,4.4301
Mg(FeGe)6,Mg1 Fe6 Ge6,0.0
LiV(OF)2,Li4 V4 O8 F8,2.6761999999999997
Sr4Nb17O26,Sr4 Nb17 O26,0.0
Cs2PtC2,Cs2 Pt1 C2,1.2698
Na3ErTi2Nb2O12,Na6 Er2 Ti4 Nb4 O24,2.1017
Nd3(SnPd)5,Nd6 Sn10 Pd10,0.0
CsDyZnTe3,Cs2 Dy2 Zn2 Te6,1.7130999999999998
Dy2CoTe2(SO7)2,Dy2 Co1 Te2 S2 O14,2.9466
LiMnSiO4,Li12 Mn12 Si12 O48,0.19499999999999984
Na3Nd5Cl18,Na3 Nd5 Cl18,4.3701
LiNi(SO4)2,Li3 Ni3 S6 O24,0.0
Ca2Sn3O8,Ca4 Sn6 O16,2.0574
CdBiClO2,Cd2 O4 Cl2 Bi2,2.8418
NbTlO3,Nb8 Tl8 O24,0.7667000000000002
Ho4(B2O5)3,B12 O30 Ho8,5.5299
EuNiO3,Eu1 Ni1 O3,0.0
Li12V3NiP4(CO7)4,Li12 V3 Ni1 P4 C4 O28,1.7633000000000005
ZnCoO2,Zn1 Co1 O2,1.0271000000000003
Mg7Zr,Mg7 Zr1,0.0
LiFePO4,Li12 Fe12 P12 O48,3.6497
Li2TiCr3O8,Li8 Ti4 Cr12 O32,0.7126000000000001
Rb2Li2SiO4,Li4 O8 Si2 Rb4,3.8516
Mg30CdSnO32,Mg30 Cd1 Sn1 O32,1.6192000000000002
Li4Cr3CoO8,Li4 Cr3 Co1 O8,0.47409999999999997
LiAsSe2,Li1 As1 Se2,0.2023999999999999
NaAl3P2(HO3)4,Na4 Al12 P8 H16 O48,5.4975000000000005
Ti2TcRh,Ti2 Tc1 Rh1,0.0
CrFeO4,Cr2 Fe2 O8,0.12550000000000017
NaLiMg30O31,Na1 Li1 Mg30 O31,2.6443
Ba4Sr2La2Co4O15,Ba8 Sr4 La4 Co8 O30,1.1925000000000003
Y6TeO12,Y6 Te1 O12,2.7253999999999996
Sc2InAg,Sc2 In1 Ag1,0.0
PuReB2,Pu4 Re4 B8,0.0
InPd2,Pd8 In4,0.0
Li3Nb2CrO6,Li3 Nb2 Cr1 O6,0.35299999999999976
Na10Sn4Au13,Na30 Sn12 Au39,0.19659999999999966
NdCrB4,Nd4 Cr4 B16,0.08079999999999998
V3(O2F)2,V6 O8 F4,0.21799999999999997
K3Mn4P5H3O20,K6 Mn8 P10 H6 O40,0.7713999999999999
H5CN3,H20 C4 N12,4.3102
NaMn2BiO6,Na8 Mn16 Bi8 O48,0.0
LiGdS2,Li1 Gd1 S2,0.30310000000000015
EuSbO4,Eu4 Sb4 O16,0.0
Li(CoO2)3,Li2 Co6 O12,0.6197000000000001
CsInBr3,Cs2 In2 Br6,0.7900999999999999
YMg30CrO32,Y1 Mg30 Cr1 O32,0.0
KHo(CO3)2,C4 O12 K2 Ho2,4.2582
Ba2As2Se5,As8 Se20 Ba8,1.0236999999999998
Sm2Si3Ni,Sm2 Si3 Ni1,0.0
LiRuRhO4,Li2 Ru2 Rh2 O8,0.0
Rb2Al2Si3O10,Rb4 Al4 Si6 O20,4.6713000000000005
MgCuSb,Mg1 Cu1 Sb1,0.0
Na11Mn13O32,Na11 Mn13 O32,0.0
Cr5NiSn12,Cr5 Ni1 Sn12,0.0
Mn2Sb,Mn2 Sb1,0.0
Rb2GaAs2,Ga8 As16 Rb16,0.8526000000000002
NaMg14Cd,Na1 Mg14 Cd1,0.0
CaTbMn2O6,Ca2 Tb2 Mn4 O12,0.0
K3ReC4(N2O)2,Re1 K3 O2 C4 N4,2.3828
Er9Al5S21,Er18 Al10 S42,2.4077
Li2Cr(CO3)2,Li4 Cr2 C4 O12,3.381
Rb3TmO3,Rb6 Tm2 O6,2.0341
Th2Br5,Th6 Br15,0.0
RbPSe6,P4 Se24 Rb4,1.8607999999999998
K5BaTaP4,K10 Ba2 Ta2 P8,1.2708000000000002
K5TbH8(CO2)8,K10 Tb2 H16 C16 O32,4.640700000000001
Fe6O5F7,Fe6 O5 F7,1.4227999999999998
YbGaCuO4,Yb1 Ga1 Cu1 O4,0.0
La3Ni2B2N3,B2 N3 Ni2 La3,0.0
Co2Mo3N,Co8 Mo12 N4,0.0
MnAlSiO5,Mn4 Al4 Si4 O20,1.6666999999999996
U2SnPd2,Pd4 Sn2 U4,0.0
NaCdPO4,Na4 Cd4 P4 O16,2.9253
SrO10,Sr2 O20,0.0
PmRh3,Pm2 Rh6,0.0
DyNiAs,Dy4 Ni4 As4,0.0
KThTi2O6,K1 Th1 Ti2 O6,0.0
YMg6Al,Y1 Mg6 Al1,0.0
Gd2Ni17,Gd4 Ni34,0.0
Mn5O3F5,Mn5 O3 F5,0.0
CdHg3Te4,Cd1 Hg3 Te4,0.0
UTl2(TeO4)2,U2 Tl4 Te4 O16,1.842
HoMgRh2,Ho1 Mg1 Rh2,0.0
Nd4Rh,Nd12 Rh3,0.0
PuC,C1 Pu1,0.0
NaMg6CrO8,Na1 Mg6 Cr1 O8,1.2305000000000001
HoAlAg2,Ho1 Al1 Ag2,0.0
Cu2AgO4,Cu2 Ag1 O4,0.0
Dy2(MoO4)3,Dy8 Mo12 O48,3.5849
PtCI2O,Pt4 C4 I8 O4,1.5903
Dy2VO5,Dy8 V4 O20,1.7037000000000004
La21Mn8Sn7C12,La21 Mn8 Sn7 C12,0.0
VFeSbO6,V2 Fe2 Sb2 O12,1.5673000000000004
Co3(PO5)2,Co6 P4 O20,0.0
LiFe3(SiO4)2,Li3 Fe9 Si6 O24,0.6305999999999998
Li7Mn5O12,Li7 Mn5 O12,0.9881000000000002
Ta6Nb3Te2S3,Ta12 Nb6 Te4 S6,0.0
KFe2P3(O4F3)2,K2 Fe4 P6 O16 F12,2.4269000000000003
HoZnPd,Ho3 Zn3 Pd3,0.0
K6Cd4Sn3Se13,K6 Se13 Cd4 Sn3,1.4058
LiHo2Tc,Li1 Ho2 Tc1,0.0
CsNpAgS3,Cs2 Np2 Ag2 S6,0.008700000000000152
LiGaAu2,Li1 Ga1 Au2,0.0
Ca3SbI3,Ca12 Sb4 I12,1.6899000000000002
LiTiSiO4,Li4 Ti4 Si4 O16,0.0
SiO2,Si48 O96,5.4719
NdGdIr2,Nd1 Gd1 Ir2,0.0
KHO,K4 H4 O4,3.6397
Li3VO3F,Li12 V4 O12 F4,1.9893999999999998
SrHfN2,Sr2 Hf2 N4,1.5390000000000001
SiNi3W2,Si2 Ni6 W4,0.0
YbCu(MoO4)2,Yb8 Cu8 Mo16 O64,0.437
Ba4As2O,O1 As2 Ba4,0.6692999999999998
DyTaRu2,Dy1 Ta1 Ru2,0.0
MnCu2SnSe4,Mn1 Cu2 Se4 Sn1,0.0
KMg14Sn,K1 Mg14 Sn1,0.0
LiCo2CuO6,Li1 Co2 Cu1 O6,0.0
VOF,V8 O8 F8,0.7756999999999996
Rb2GdAgCl6,Rb2 Gd1 Ag1 Cl6,1.9768000000000001
SrAl2SiN2O3,Sr4 Al8 Si4 N8 O12,3.7236
FeCoH18(NCl)6,H72 N24 Cl24 Fe4 Co4,0.8114
Li2FeBO4,Li8 Fe4 B4 O16,2.3149
SrMgNi(PO4)2,Sr2 Mg2 Ni2 P4 O16,3.9873
Co2Re5B4,Co4 Re10 B8,0.0
LaMgI5,La4 Mg4 I20,1.9817
Na2MgSiO4,O8 Na4 Mg2 Si2,3.7654
Mg2Mo3O8,O16 Mg4 Mo6,1.6410000000000005
Li7Co5O12,Li7 Co5 O12,0.2604000000000002
Yb2MoO6,Yb8 Mo4 O24,0.0
Sr4Al6TeO12,O12 Al6 Sr4 Te1,2.8466000000000005
Na2Li3FeO4,Fe4 Na8 O16 Li12,2.9156
Te4Mo3W(SeS)2,Te4 Mo3 W1 Se2 S2,0.0
Cs2AlAuF6,Cs2 Al1 Au1 F6,1.5221
LiMnV(P2O7)2,Li1 Mn1 V1 P4 O14,1.3469000000000002
Li4Mn5Co3O16,Li4 Mn5 Co3 O16,0.0
Na3CuO2,Na12 Cu4 O8,1.3658
Li4Bi3O8,Li8 Bi6 O16,0.0
Ba2(Mo2S3)3,Ba8 Mo24 S36,0.0
Li2Co3BiO8,Li2 Co3 Bi1 O8,1.065
Rb2NaVF6,Rb2 Na1 V1 F6,0.0
LiAl(Si2O5)2,Li2 O20 Al2 Si8,5.3223
Ca(AgO2)2,Ca4 Ag8 O16,0.6817
Ca(AlZn)2,Al2 Ca1 Zn2,0.0
LiMoAsO6,Li4 Mo4 As4 O24,2.4743
Er3Ga8Ir3,Er3 Ga8 Ir3,0.0
FeSCl7,Fe4 S4 Cl28,1.3835
Te4W3S2,Te4 W3 S2,0.0
Li4CrTe(WO6)2,Li4 Cr1 Te1 W2 O12,0.0
CsCOF3,C4 O4 F12 Cs4,6.117
CsTm(MoO4)2,Cs2 Tm2 Mo4 O16,2.9429000000000007
Mg14GaMo,Mg14 Ga1 Mo1,0.0
MgZn,Mg3 Zn3,0.0
Rb5Bi4,Rb5 Bi4,0.0
Tb2Ti3Ge4,Ti12 Ge16 Tb8,0.0
KV3(SeO6)2,K2 V6 Se4 O24,2.3366000000000002
CuPH6NO5,Cu4 P4 H24 N4 O20,0.7670999999999999
Eu2Mn2O5,Eu4 Mn4 O10,0.0
CaGa2Ni,Ca2 Ga4 Ni2,0.0
NaCeS2O9,Na3 Ce3 S6 O27,0.5382
Sr11(CdSb2)6,Sr11 Cd6 Sb12,0.3131999999999997
TbErIn2,Tb1 Er1 In2,0.0
NdY3,Nd2 Y6,0.0
CaMg,Ca2 Mg2,0.0
UNiSn,U2 Ni2 Sn2,0.0
Zn3P4H20C4(NO6)2,Zn6 P8 H40 C8 N4 O24,4.9271
Na2CdO2,Na16 Cd8 O16,0.7806
Mn12HO24,Mn24 H2 O48,0.0
Li6MnFe5(BO3)6,Li6 Mn1 Fe5 B6 O18,2.8355999999999995
CaEu3,Ca2 Eu6,0.0
BaGd2O4,O16 Ba4 Gd8,2.7986000000000004
LaPO4,O12 P3 La3,4.7024
Li2IrO3,Ir10 Li20 O30,0.008900000000000574
